iter	Logloss
218	0.0508590077
219	0.05021917478
220	0.0496599928
221	0.04920484697
222	0.04851091824
223	0.04805211806
224	0.04751688418
225	0.04688236489
226	0.04640936824
227	0.04604822103
228	0.04569816368
229	0.04528574467
230	0.04484054539
231	0.04441526023
232	0.04414894819
233	0.04392449143
234	0.04359227464
235	0.04343948658
236	0.04304289546
237	0.0426644304
238	0.04240892789
239	0.04223684754
240	0.04195091876
241	0.04158817038
242	0.04115731919
243	0.04075637564
244	0.04038664961
245	0.04007271094
246	0.03977872494
247	0.03951020261
248	0.03917602276
249	0.03863868862
250	0.03823678422
251	0.03793283063
252	0.03766955548
253	0.03741059075
254	0.03711627947
255	0.03669493518
256	0.03647691582
257	0.03618242902
258	0.03598637464
259	0.03577147254
260	0.03562503108
261	0.03526597465
262	0.03503478386
263	0.03484309844
264	0.03452693312
265	0.03430158243
266	0.03407633144
267	0.0338920047
268	0.03349837421
269	0.03331573541
270	0.03309050751
271	0.03285385961
272	0.0325874188
273	0.03236206725
274	0.032068169
275	0.03188625641
276	0.031665731
277	0.03136143482
278	0.0311479883
279	0.0310043849
280	0.03077681573
281	0.0306106156
282	0.03040556
283	0.0300408889
284	0.02984640949
285	0.02965806221
286	0.02948669266
287	0.02922509526
288	0.02907576325
289	0.02883154866
290	0.02870677824
291	0.0285578094
292	0.02853487385
293	0.028389049
294	0.02827514839
295	0.02816355615
296	0.02797691522
297	0.02787181002
298	0.02763592984
299	0.02738568708
300	0.02713754854
301	0.02704370355
302	0.02689712486
303	0.02670879228
304	0.0266144904
305	0.02642406493
306	0.02626603642
307	0.02609836576
308	0.02603420678
309	0.02581621179
310	0.02570066017
311	0.02556384104
312	0.02543352325
313	0.02532020194
314	0.02517237548
315	0.02506090607
316	0.02495050701
317	0.02470690689
318	0.02467454787
319	0.02446971542
320	0.0244364798
321	0.02430398328
322	0.0241524826
323	0.02405473557
324	0.02395761774
325	0.02382541247
326	0.02370888671
327	0.02356676632
328	0.02345433478
329	0.0232543869
330	0.02313383671
331	0.02301808815
332	0.02294745919
333	0.02285211444
334	0.02265642853
335	0.02251985244
336	0.02238036308
337	0.02225433763
338	0.02207299836
339	0.02198041621
340	0.02182420508
341	0.02178859448
342	0.02165292735
343	0.02155222772
344	0.02142661101
345	0.02134115093
346	0.02130513171
347	0.02128150294
348	0.02119932335
349	0.02106219362
350	0.02095678087
351	0.0208457263
352	0.0207164224
353	0.02062105888
354	0.02052750344
355	0.02051979403
356	0.02049655331
357	0.02040487197
358	0.02031820791
359	0.0201556399
360	0.0200424703
361	0.019991343
362	0.01983919438
363	0.0197582412
364	0.01975116276
365	0.01963692789
366	0.01954920769
367	0.01952472148
368	0.01951759481
369	0.01941343736
370	0.01928366542
371	0.01924887901
372	0.01910604039
373	0.01901608201
374	0.0190000904
375	0.01897682098
376	0.01896060556
377	0.01895528309
378	0.01890045214
379	0.01882433317
380	0.01872765432
381	0.01871145861
382	0.01860313428
383	0.01859736494
384	0.01856150251
385	0.01848719976
386	0.01839588106
387	0.01833545161
388	0.01824619571
389	0.01815849307
390	0.01808264605
391	0.01800750638
392	0.01800259736
393	0.01792094378
394	0.01791612003
395	0.01784360475
396	0.01777960907
397	0.01760471995
398	0.01759999895
399	0.01755315314
