iter	Logloss
0	0.6713445136
1	0.6423402197
2	0.6214230237
3	0.6002597229
4	0.5810138429
5	0.565828121
6	0.5505318692
7	0.5348473753
8	0.5161430781
9	0.5066424568
10	0.4919333997
11	0.481521996
12	0.4703402182
13	0.4603002265
14	0.4518119685
15	0.4395326598
16	0.4316973868
17	0.4240893687
18	0.4146114081
19	0.4102433512
20	0.4031235117
21	0.3951041144
22	0.3878637228
23	0.3830275902
24	0.375219245
25	0.3712833905
26	0.366179049
27	0.3597281876
28	0.3531147529
29	0.3486567618
30	0.3406291498
31	0.3369551734
32	0.3315393353
33	0.327810025
34	0.3252789461
35	0.3211859367
36	0.3163029212
37	0.3134125213
38	0.3096569317
39	0.3053301083
40	0.3001211518
41	0.2942505883
42	0.29180638
43	0.2870495633
44	0.2839388068
45	0.2793960768
46	0.2741789661
47	0.2711187549
48	0.2685251988
49	0.2656307006
50	0.2628505279
51	0.2600436167
52	0.2568211745
53	0.2556171074
54	0.2530074719
55	0.2476621272
56	0.243900255
57	0.2424085579
58	0.240117497
59	0.2380392224
60	0.2354758726
61	0.2317095366
62	0.2295887208
63	0.2265652479
64	0.2249324696
65	0.2218252505
66	0.2193154276
67	0.2167738315
68	0.213175796
69	0.2116347128
70	0.2104133197
71	0.2085386185
72	0.2070388996
73	0.2047227371
74	0.20394325
75	0.2021151917
76	0.2006786506
77	0.1975929791
78	0.1959909071
79	0.1931936217
80	0.1913896016
81	0.1897915737
82	0.1879607631
83	0.1861933888
84	0.1846844299
85	0.1823856889
86	0.1801655502
87	0.176987145
88	0.1759310875
89	0.1739988545
90	0.1707553087
91	0.1690078474
92	0.1663932045
93	0.165599022
94	0.164383234
95	0.1610711491
96	0.1591170732
97	0.1573070593
98	0.1563494759
99	0.1547796128
100	0.1532844653
101	0.1519828165
102	0.1510537401
103	0.1493112668
104	0.1476563818
105	0.1465252861
106	0.1445072026
107	0.1432035527
108	0.1407101195
109	0.138776766
110	0.1378588602
111	0.1365703985
112	0.1348851697
113	0.1328970134
114	0.1310835831
115	0.1286756041
116	0.1272923153
117	0.1256082104
118	0.1248619201
119	0.123576892
120	0.1220142193
121	0.1205344788
122	0.1184637271
123	0.1166858303
124	0.1153374509
125	0.1141885099
126	0.1133109344
127	0.1123920617
128	0.1112295423
129	0.1097424994
130	0.1084046503
131	0.1068245489
132	0.1064533708
133	0.1058805818
134	0.1052787844
135	0.1040888479
136	0.1031694949
137	0.1029110903
138	0.1021278183
139	0.1004171328
140	0.0991637316
141	0.09827047561
142	0.09732073231
143	0.09620795406
144	0.09516910544
145	0.09481385098
146	0.09425368995
147	0.09306310705
148	0.09207348764
149	0.09143110804
150	0.09055549142
151	0.09035985785
152	0.09024259685
153	0.08860782205
154	0.08740463754
155	0.08634739246
156	0.08623872931
157	0.08558773084
158	0.08446019976
159	0.08399228767
160	0.08319174724
161	0.08216148832
162	0.08206756633
163	0.08088524989
164	0.08021206367
165	0.07946627677
166	0.07885847378
167	0.07878704341
168	0.07808699008
169	0.07728111418
170	0.07652560409
171	0.07647263945
172	0.07594167775
173	0.07587990783
174	0.07512042743
175	0.07427799353
176	0.07332539074
177	0.07325428307
178	0.07319973402
179	0.0725944511
180	0.07178827068
181	0.07110444112
182	0.07031086421
183	0.06943654573
184	0.06860852043
185	0.06774579799
186	0.06711512824
187	0.06635198099
188	0.06576354297
189	0.06502065824
190	0.06441609565
191	0.06398189203
192	0.06348508454
193	0.0628729929
194	0.06244216164
195	0.06165318746
196	0.06121247474
197	0.0611596989
198	0.06071486237
199	0.06008772335
200	0.0595008913
201	0.05901595235
202	0.05817348017
203	0.0576800286
204	0.05700160956
205	0.05647748355
206	0.05591476527
207	0.05555102126
208	0.05498134699
209	0.05438088432
210	0.05380378635
211	0.05376669267
212	0.05347003522
213	0.05265876181
214	0.05234253913
215	0.05190026782
216	0.05162760082
217	0.05114968144
